page,section,affirmation_exacte,source,statut,note
country-italy.html,National Teams Men,"ELF Championship Silver 2025 — lost 9-8 to Israel in the final. First ELF appearance: 2004.",Session research,vérifié,
country-italy.html,National Teams Women,"Active programme, FIGL parallel programmes",Editorial,reformulé,Aucun résultat spécifique invoqué
country-italy.html,National Teams Sixes,"Sixes programme building",Editorial,reformulé,Aucun résultat spécifique invoqué
country-italy.html,CTA,lacrosseitalia.it (lien officiel FIGL),Connaissance source — non testé en live,à revalider,URL à confirmer
country-netherlands.html,Hero subtitle,"The Netherlands was building Sixes lacrosse before the Olympic announcement",Editorial,reformulé,Appuyé sur EuroLax Sixes Cup et ELF 2008 Silver
country-netherlands.html,Hero subtitle,"EuroLax Sixes Cup winners. Silver at the 2008 ELF Championship. NLB has been at the centre of Dutch sport since 2003.",Session research,vérifié,
country-netherlands.html,DNA Stage,Established (remplace Emerging),Session research — NLB fondé 2003 + ELF Silver 2008,vérifié,
country-netherlands.html,DNA Identity,"Sixes pioneer · ELF Silver 2008 · NLB 2003",Session research,vérifié,
country-netherlands.html,DNA Why,"EuroLax Sixes Cup winners. Silver at ELF 2008. The Dutch were building Sixes infrastructure before the Olympic announcement made it mandatory.",Session research,vérifié,
country-netherlands.html,Stats,"2003 — NLB founded",Session research,vérifié,
country-netherlands.html,Stats,"2008 — ELF Championship Silver",Session research,vérifié,
country-netherlands.html,Why Follow,"The Netherlands won the EuroLax Sixes Cup in overtime",Session research,vérifié,"Détail 'overtime' issu recherches session — à reconfirmer si granularité nécessaire"
country-netherlands.html,Why Follow,"NLB has run Dutch lacrosse since 2003. Over 20 years of consistent federation continuity",Session research,vérifié,
country-netherlands.html,National Teams Men,"ELF Championship Silver 2008. EuroLax Sixes Cup winners (overtime).",Session research,vérifié,
country-netherlands.html,CTA,Lien fédération NL (non spécifié dans les sources),Non vérifié,à revalider,URL officielle NLB non confirmée en session
country-netherlands.html,RETIRÉ,"Amsterdam Open" (toutes occurrences),Non vérifiable,retiré,Entièrement supprimé de la page
country-spain.html,Hero subtitle,"Lacrosse arrived in Spain in 2001, introduced in Madrid. The Asociación Española de Lacrosse (AEL) was founded in 2010",Session research,vérifié,
country-spain.html,DNA Identity,"Sixes-first · Barcelona-anchored · AEL 2010",Session research,vérifié,
country-spain.html,DNA Why,"AEL founded 2010. Lacrosse in Spain since 2001 (Madrid). Barcelona has become the centre of gravity.",Session research,vérifié,"Barcelona comme 'centre de gravité' est éditorial — la ville est cependant souvent citée"
country-spain.html,Stats,"2001 — Lacrosse in Spain",Session research,vérifié,
country-spain.html,Stats,"2010 — AEL founded",Session research,vérifié,
country-spain.html,Stats,Barcelona — Scene centre,Editorial — ville citée dans sources communautaires,reformulé,Non chiffré — acceptable
country-spain.html,Why Follow,"Spain's commitment to Sixes as primary format is strategically correct",Editorial,reformulé,Formulation de positionnement éditorial
country-spain.html,Why Follow,"Barcelona lacrosse community has a distinct energy — young, urban, one of the most dynamic developing club scenes in southern Europe",Editorial,reformulé,Nuancé — décision utilisateur 2026-04-01. Superlatif comparatif retiré
country-spain.html,Why Follow,"Spain is not yet a top-tier European scene. But the trajectory is sharply upward",Editorial,reformulé,Honnête et non affirmation factuelle
country-spain.html,CTA,spainlacrosse.org (lien officiel AEL),Connaissance source — non testé en live,à revalider,URL à confirmer
country-spain.html,CORRIGÉ,FEL → AEL (Asociación Española de Lacrosse) partout,Session research — nom officiel vérifié,vérifié,
country-sweden.html,Hero subtitle,"Lacrosse arrived in Sweden in 1988",Session research — Jim Johnson,vérifié,
country-sweden.html,Hero subtitle,"One of six ELF founding nations (1995)",Session research,vérifié,
country-sweden.html,Hero subtitle,"30+ years of consistent national participation",Editorial — calculé depuis 1995,reformulé,Acceptable — calculé depuis la fondation ELF
country-sweden.html,DNA Identity,"University-rooted · Coached · Quiet depth",Editorial,reformulé,
country-sweden.html,DNA Why,"Present at every major ELF event since 1995. A founding scene with 30 years of quiet consistency.",Editorial appuyé sur recherches,reformulé,Participation continue non vérifiée édition par édition
country-sweden.html,Stats,"1988 — Lacrosse introduced",Session research — Jim Johnson,vérifié,
country-sweden.html,Stats,"1995 — ELF Founding member",Session research,vérifié,
country-sweden.html,Overview,Jim Johnson introduit le lacrosse en Suède en 1988,Session research,vérifié,
country-sweden.html,Overview,"SLF merged into SBSLF in 2021",Session research,vérifié,
country-sweden.html,Why Follow,"Almost every Swedish lacrosse player has come through university sport",Editorial,reformulé,Non sourcé — formulation éditoriale à surveiller
country-sweden.html,CTA,lacrosse.se (lien officiel SBSLF),Connaissance source — non testé en live,à revalider,URL à confirmer — nom de domaine plausible
country-sweden.html,CORRIGÉ,SLF → SBSLF partout + note merger 2021,Session research,vérifié,
country-czech-republic.html,Stats,"1986 — Lacrosse introduced",Session research,vérifié,
country-czech-republic.html,Stats,"1994 — First AHM edition",Session research,vérifié,
country-czech-republic.html,Stats,"2004 — CLU founded",Session research,vérifié,
country-czech-republic.html,Overview,"Lacrosse arrived in Czech Republic in 1986",Session research,vérifié,
country-czech-republic.html,Overview,"Czech Republic was already a credible national programme — hosting the inaugural ELF Championship in 1995",Session research,vérifié,
country-czech-republic.html,Overview,"Aleš Hřebeský Memorial, first held in 1994 in memory of a founding figure",Session research,vérifié,
country-czech-republic.html,Overview,"By its 32nd edition in 2025, the AHM hosted 24 teams from 19 countries",Session research,vérifié,
country-czech-republic.html,Overview,"Czech Lacrosse Union (CLU) was formally established on 12 May 2004",Session research,vérifié,
country-czech-republic.html,Fact Panel,"Lacrosse introduced: 1986 (40th anniversary in 2025)",Session research,vérifié,
country-czech-republic.html,Fact Panel,"ELF founding member: 1995",Session research,vérifié,
country-czech-republic.html,Fact Panel,"ELF Championship Silver: 1995 (as host), 1997",Session research,vérifié,
country-czech-republic.html,Fact Panel,"Aleš Hřebeský Memorial: first held 1994 — 32nd edition 2025",Session research,vérifié,
country-czech-republic.html,Fact Panel,"CLU founded: 12 May 2004",Session research,vérifié,
country-czech-republic.html,Timeline 1986,"Lacrosse takes root in Czech Republic",Session research,vérifié,
country-czech-republic.html,Timeline 1994,"The AHM is created in memory of Aleš Hřebeský, who died on 30 November 1993",Session research,vérifié,
country-czech-republic.html,Timeline 1995+1997,"Czech Republic co-founds the ELF in 1995 and hosts the inaugural Championship, finishing as Silver medallist. Silver again in 1997.",Session research,vérifié,
country-czech-republic.html,Timeline 2004,"Czech Lacrosse Union officially founded on 12 May 2004",Session research,vérifié,
country-czech-republic.html,National Teams Men,"ELF Championship Silver 1995 (as host) and 1997",Session research,vérifié,
country-czech-republic.html,National Teams Men,"Box programme among Europe's most established — built on 40 years of continuous competition",Editorial,reformulé,Formulation éditoriale — pas un classement officiel
country-czech-republic.html,Why Follow,"The Memorial is unlike any other lacrosse event in Europe. North American and European club teams in Prague",Session research,vérifié,
country-czech-republic.html,Why Follow,"30+ years of Box lacrosse culture means institutional knowledge",Editorial — calculé depuis 1986,reformulé,
country-czech-republic.html,Why Follow,"the only European Box event that consistently attracts North American club programmes",Session research,vérifié,Formulé dans section Why Follow — claim fort mais bien appuyé
country-czech-republic.html,CTA,lacrosse.cz (lien officiel CLU),Connaissance source — non testé en live,à revalider,URL à confirmer
country-czech-republic.html,Coverage,"ELF Spring Championship 2026: Preview and Teams to Watch",Article de test FTL,reformulé,Placeholder structurel — pas source factuelle
country-czech-republic.html,RETIRÉ,"CLU National Programme" (faux club card),N/A,retiré,N'était pas un club réel
countries.html,Scene Radar Germany,"ELF founding member (1995). ELF Championship Gold in 2001 — beating England 16-8 in the final. Three Silver medals (1999, 2000, 2004).",Session research,vérifié,Carte Germany absente auparavant — ajoutée
countries.html,Scene Radar Italy,"ELF Championship Silver in 2025 — lost 9-8 to Israel in the final. 8 active clubs.",Session research + décision utilisateur 2026-04-01,vérifié,Corrigé — 40+ → 8
countries.html,Scene Radar Netherlands,"EuroLax Sixes Cup winners. ELF Championship Silver in 2008.",Session research,vérifié,Amsterdam Open retiré
countries.html,Scene Radar Czech,"Prague hosts the Aleš Hřebeský Memorial every year — the only European Box tournament that draws North American club teams.",Session research,vérifié,
countries.html,Fed chip Germany,DLaxV (remplace LVD),Session research — nom officiel,vérifié,
countries.html,Fed chip Italy,FIGL (remplace FIL),Session research — nom officiel,vérifié,
countries.html,Fed chip Spain,AEL (remplace FEL),Session research — nom officiel,vérifié,
countries.html,Fed chip Sweden,SBSLF (remplace SLF),Session research — merger 2021,vérifié,
countries.html,Country card Germany,ELF Championship Gold in 2001 — cc-hook mis à jour,Session research,vérifié,
countries.html,Country card Netherlands,EuroLax Sixes Cup + ELF Silver 2008 — Amsterdam Open retiré,Session research,vérifié,
countries.html,Country card Italy,"ELF Championship Silver in 2025 (lost 9-8 to Israel in the final). 8 active clubs.",Décision utilisateur 2026-04-01,vérifié,Corrigé — 40+ → 8
countries.html,Country cards (tous),"Profile in progress" retiré — remplacé par "Full profile",Editorial — profils complétés,vérifié,
countries.html,Callout box NL,"NLB won the EuroLax Sixes Cup. Spain launched AEL in 2010.",Session research,vérifié,Amsterdam Open retiré de ce callout
countries.html,RETIRÉ,Amsterdam Open (radar Netherlands + callout),Non vérifiable,retiré,
countries.html,Hero stats,"30+ ELF Member Nations",Non vérifié en session — chiffre ELF public,à revalider,Chiffre présent avant la session — non modifié mais à confirmer
countries.html,Hero stats,"150+ Years of European lacrosse",Non vérifié en session,à revalider,Présent avant session — non modifié — vraisemblable (lacrosse anglais ~1860s) mais non sourçé explicitement
